condition,diagonal_fraction,seed,train_size,fit_transition_count,model,parameter_count,q_bin_coverage,observed_joint_action_count,best_epoch,validation_mse,positive_axis_nmse,negative_axis_nmse,positive_joint_nmse,negative_joint_nmse,mixed_joint_nmse,negative_axis_control_error,negative_axis_control_success,negative_axis_action_error,positive_joint_control_error,positive_joint_control_success,positive_joint_action_error,mixed_joint_control_error,mixed_joint_control_success,mixed_joint_action_error
axis_plus_10pct_joint,0.1,0,200,160,free,4868,0.3263888888888889,28,899,5.926139692746801e-06,0.0005973626975901425,0.02586984448134899,0.001114196958951652,0.03232203423976898,0.008840278722345829,0.01475706455372953,0.7578125,0.017059806271087535,0.008224799261370208,1.0,0.009732685812547883,0.009618633309097882,0.9739583333333334,0.010782575461073052
axis_plus_10pct_joint,0.1,0,200,160,first_order,5000,0.3263888888888889,28,899,6.364942237269133e-06,0.0007046155515126884,0.02700882963836193,0.0011041421676054597,0.03426258638501167,0.009206414222717285,0.013555054672906408,0.8098958333333334,0.017214147170307115,0.008562917816258656,1.0,0.010212591918843071,0.009027460583941624,0.9973958333333334,0.01026919011539196
axis_plus_10pct_joint,0.1,0,200,160,corrected,5780,0.3263888888888889,28,899,2.265713874294306e-06,0.00025890523102134466,0.00512702576816082,0.00021778627706225961,0.00408557802438736,0.0031261069234460592,0.007246213327258981,0.9661458333333334,0.007646665268111974,0.00766847656389776,1.0,0.00889251342209583,0.007971218905974334,0.9973958333333334,0.008476778741855562
axis_plus_10pct_joint,0.1,0,500,400,free,4868,0.5902777777777778,57,899,4.012164026789833e-06,0.0004085097461938858,0.02413594350218773,0.0010406910441815853,0.028925610706210136,0.009190120734274387,0.012752996108853646,0.7994791666666666,0.015123724115255754,0.00796421302948147,1.0,0.009817865601953602,0.008990597755958637,0.9921875,0.009929437003054027
axis_plus_10pct_joint,0.1,0,500,400,first_order,5000,0.5902777777777778,57,899,4.637082383851521e-06,0.0005066548474133015,0.02636629529297352,0.0010966503759846091,0.0324518159031868,0.00950461532920599,0.0134934032291009,0.7994791666666666,0.017458515025888726,0.008223696723386334,1.0,0.009762103203971065,0.008919368376761364,1.0,0.010070302303610515
axis_plus_10pct_joint,0.1,0,500,400,corrected,5780,0.5902777777777778,57,899,1.5513044218096184e-06,0.00017039664089679718,0.00359195563942194,0.00017530019977129996,0.003173842327669263,0.0019643250852823257,0.0057180681033059955,0.9921875,0.005854910387521765,0.007546967128291726,1.0,0.008963065307890762,0.007527752700601316,1.0,0.007921137616535573
axis_plus_10pct_joint,0.1,0,1000,800,free,4868,0.7569444444444444,104,899,4.2113942981814034e-06,0.0003845882893074304,0.02497340552508831,0.0009648417471908033,0.02917119301855564,0.00991014949977398,0.012137833181138072,0.8333333333333334,0.014772911364464866,0.00785744438568751,1.0,0.009232292962545975,0.009078954111222023,0.984375,0.009994083844546545
axis_plus_10pct_joint,0.1,0,1000,800,first_order,5000,0.7569444444444444,104,899,4.994375558453612e-06,0.00045021597179584205,0.02651106007397175,0.0010913158766925335,0.03252922371029854,0.009744499810039997,0.01335785136082753,0.8177083333333334,0.0170667173564046,0.007975402637384832,1.0,0.009356538942168395,0.008899741375595719,0.9947916666666666,0.009973147684238825
axis_plus_10pct_joint,0.1,0,1000,800,corrected,5780,0.7569444444444444,104,899,1.3786402632831596e-06,0.0001238326949533075,0.0030167067889124155,0.00013472556020133197,0.0030506853945553303,0.001303088734857738,0.005436826983592861,0.9895833333333334,0.005375694386505832,0.007618235555128194,1.0,0.008969479109265821,0.007554111807015336,1.0,0.007837571533197278
axis_plus_10pct_joint,0.1,0,2000,1600,free,4868,1.0,192,899,4.0998979784490075e-06,0.0003996823215857148,0.026875454932451248,0.0010421095648780465,0.029693420976400375,0.011727679520845413,0.01235120417914004,0.8333333333333334,0.014802921716182027,0.007783818187211485,1.0,0.009276445109231611,0.009444322025956353,0.9609375,0.011011465465130243
axis_plus_10pct_joint,0.1,0,2000,1600,first_order,5000,1.0,192,899,4.24123845732538e-06,0.0004081299703102559,0.026381727308034897,0.001073179766535759,0.03229368478059769,0.009784774854779243,0.012026768540939278,0.84375,0.0158484532997439,0.007757074597369258,1.0,0.009087809862901594,0.008677100514129657,1.0,0.009788985873405969
axis_plus_10pct_joint,0.1,0,2000,1600,corrected,5780,1.0,192,899,8.247788514381682e-07,8.172995876520872e-05,0.0028905333019793034,9.291549940826371e-05,0.0027867236640304327,0.00136389525141567,0.0049663159261399414,0.9973958333333334,0.004297321271830394,0.007273550754083165,1.0,0.008830588455171609,0.007423855148469253,1.0,0.007741232821191008
axis_plus_10pct_joint,0.1,1,200,160,free,4868,0.3402777777777778,27,899,5.5802715905883815e-06,0.0005896013462916017,0.02775888331234455,0.0010617153020575643,0.030764998868107796,0.01132061518728733,0.014450784829023178,0.7578125,0.01697317630168982,0.008302472238331879,1.0,0.009439534722698383,0.010221010696113808,0.9661458333333334,0.010967770497371096
axis_plus_10pct_joint,0.1,1,200,160,first_order,5000,0.3402777777777778,27,899,5.722707101085689e-06,0.0005424481350928545,0.0261370912194252,0.001161402091383934,0.033096153289079666,0.009071329608559608,0.013681074666237691,0.8020833333333334,0.017075427475598797,0.008223426824163957,1.0,0.00921143529559032,0.008800829389656428,1.0,0.009733945790355072
axis_plus_10pct_joint,0.1,1,200,160,corrected,5780,0.3402777777777778,27,899,2.3243769646796864e-06,0.00021769401791971177,0.005532070994377136,0.000298981845844537,0.005434263963252306,0.0030002743005752563,0.00840551756421822,0.9140625,0.008075840247329324,0.007954429274832364,1.0,0.008717200031597837,0.007790169533109292,0.9921875,0.007774727920227075
axis_plus_10pct_joint,0.1,1,500,400,free,4868,0.4722222222222222,58,899,6.998932349233655e-06,0.00045514837256632745,0.02710540033876896,0.0010836971923708916,0.02987802028656006,0.011535541154444218,0.013926217641710537,0.7604166666666666,0.015141093579586595,0.008025801141532915,1.0,0.008897826630873974,0.01012703108669181,0.9791666666666666,0.009875753889640702
axis_plus_10pct_joint,0.1,1,500,400,first_order,5000,0.4722222222222222,58,899,5.391984814195894e-06,0.00047258552513085306,0.026240061968564987,0.0011304402723908424,0.0327526330947876,0.009366807527840137,0.013999628631305919,0.7916666666666666,0.017891243609483354,0.008113411553495098,1.0,0.00922810546142441,0.009112122775453221,0.9895833333333334,0.010085620273082728
axis_plus_10pct_joint,0.1,1,500,400,corrected,5780,0.4722222222222222,58,899,2.3300328848563368e-06,0.00018281678785569966,0.00556707289069891,0.00020660307200159878,0.0045403651893138885,0.0029712098184973,0.008159566036435232,0.9270833333333334,0.007254823775535139,0.007737440035270993,1.0,0.008775254773341658,0.007812653816169282,0.9973958333333334,0.007695040078111025
axis_plus_10pct_joint,0.1,1,1000,800,free,4868,0.7430555555555556,106,880,4.990019533579471e-06,0.00044405332300812006,0.027231737971305847,0.0010613033082336187,0.031138118356466293,0.010966941714286804,0.012184939438157016,0.8333333333333334,0.013948248725985954,0.007880984871007968,1.0,0.009407029170746739,0.009664704683624828,0.9635416666666666,0.010456462915546035
axis_plus_10pct_joint,0.1,1,1000,800,first_order,5000,0.7430555555555556,106,899,5.019191121391486e-06,0.00045284602674655616,0.02623150683939457,0.0011369810672476888,0.03250562772154808,0.009496151469647884,0.013294130220553294,0.8255208333333334,0.01689204378150559,0.00815014377925157,1.0,0.00960604089084023,0.008898867773192857,0.9947916666666666,0.009740634059260097
axis_plus_10pct_joint,0.1,1,1000,800,corrected,5780,0.7430555555555556,106,899,1.1153098284921725e-06,0.0001161056206910871,0.0037240872625261545,0.00011099810217274353,0.0033927042968571186,0.0018263376550748944,0.006276045520280604,0.9817708333333334,0.005757975122833159,0.007508741905136655,1.0,0.008971094226221036,0.007673779803250606,1.0,0.007890456053684373
axis_plus_10pct_joint,0.1,1,2000,1600,free,4868,0.9652777777777778,200,860,5.153318852535449e-06,0.0004892098368145525,0.03153681382536888,0.0011372326407581568,0.03310482203960419,0.015213411301374435,0.015141369847090877,0.7395833333333334,0.017763845932980377,0.008380250922831086,1.0,0.009649557271083105,0.009988151387612257,0.9348958333333334,0.01078122126201632
axis_plus_10pct_joint,0.1,1,2000,1600,first_order,5000,0.9652777777777778,200,899,4.649741640605498e-06,0.00041506162961013615,0.026336899027228355,0.0011155918473377824,0.03241308778524399,0.00972938071936369,0.013608527280666749,0.8098958333333334,0.017536491175026942,0.008075442633222943,1.0,0.009797077736674976,0.00907865668462667,0.984375,0.010097828162592314
axis_plus_10pct_joint,0.1,1,2000,1600,corrected,5780,0.9652777777777778,200,899,1.0953808669000864e-06,0.0001105377814383246,0.003548308042809367,0.00010756908886833116,0.0028903016354888678,0.0019293429795652628,0.0066039121787374215,0.9817708333333334,0.0065662853012327105,0.007473858306184411,1.0,0.00890853655978435,0.007754447982733836,1.0,0.007961631824096144
axis_plus_10pct_joint,0.1,2,200,160,free,4868,0.3055555555555556,19,899,4.747435468743788e-06,0.0006880841683596373,0.031126592308282852,0.0018809506436809897,0.03543907031416893,0.013217434287071228,0.01426776888789997,0.7838541666666666,0.01805990157542207,0.008045076686054623,1.0,0.009289850913030731,0.010483282036148012,0.9635416666666666,0.011011827372508248
axis_plus_10pct_joint,0.1,2,200,160,first_order,5000,0.3055555555555556,19,899,4.015972081106156e-06,0.0005329456180334091,0.026435472071170807,0.0014101683627814054,0.03326369822025299,0.009663885459303856,0.013045496423728764,0.8229166666666666,0.016046693626170356,0.008350059164513368,1.0,0.009171598467291256,0.008866117026627762,0.9973958333333334,0.009689068733785016
