seed,train_size,model,parameter_count,q_bin_coverage,best_epoch,validation_mse,positive_nmse,negative_nmse,scaled_positive_nmse,scaled_negative_nmse,positive_control_error,negative_control_error,positive_control_success,negative_control_success,positive_action_mae,negative_action_mae
3,200,first_order,4482,1.0,1199,2.227928462161799e-06,0.00022238049132283777,0.026210526004433632,0.0076890368945896626,0.059643931686878204,8.6058514342587e-05,0.001422129773980411,1.0,0.45703125,8.60556319821626e-05,0.0014221335974677156
3,200,corrected,4612,1.0,1199,3.1770092334681976e-08,2.878457962651737e-06,0.00022013974376022816,0.00011998669651802629,0.0010890066623687744,0.00012883229965983864,0.0008478778771703332,1.0,0.6497395833333334,0.00012882363807875663,0.0008478677070039945
3,500,free,4546,1.0,1199,2.1521764210774563e-06,0.00021626296802423894,0.025682073086500168,0.007535838522017002,0.05858072265982628,9.912258470142395e-05,0.0016910167499872841,1.0,0.376953125,9.912343133085717e-05,0.0016910143046213004
3,500,first_order,4482,1.0,1199,2.207007810284267e-06,0.00022140302462503314,0.026139061897993088,0.007723933085799217,0.05953790619969368,8.878280067155704e-05,0.0014113250129431283,1.0,0.4680989583333333,8.877806734138478e-05,0.0014113267097854987
3,500,corrected,4612,1.0,1199,1.650169068057039e-08,1.5857224298088113e-06,0.00019948178669437766,0.00011227490176679567,0.001053167856298387,9.257201300509148e-05,0.0008665318027804384,1.0,0.6243489583333334,9.256662451662123e-05,0.0008665348068461753
3,1000,free,4546,1.0,850,2.045615929091582e-06,0.00020860864606220275,0.024637511000037193,0.007311882916837931,0.05591914430260658,0.00011769443422456523,0.0009609360761733873,1.0,0.6139322916666666,0.00011768468296698605,0.0009609358943028686
3,1000,first_order,4482,1.0,1199,2.1596101760223974e-06,0.0002196595596615225,0.0261521078646183,0.007715248037129641,0.05955878272652626,0.00012067140018482785,0.0014240833589364381,1.0,0.4544270833333333,0.00012066724108687292,0.0014240870247400987
3,1000,corrected,4612,1.0,1199,1.4992355801268786e-08,1.3161940159989172e-06,0.00023440172662958503,7.958526111906394e-05,0.0012620989000424743,8.874301546413221e-05,0.0012208265207647173,1.0,0.5091145833333334,8.87427255899335e-05,0.0012208318124370028
4,50,free,4546,1.0,1199,2.4766775368334493e-06,0.0002341904182685539,0.02737572230398655,0.007127909921109676,0.06128160282969475,0.00026141681951467416,0.0022262519262146916,1.0,0.3313802083333333,0.00026141102959324297,0.0022262543764857887
4,50,first_order,4482,1.0,1199,2.525486934246146e-06,0.0002336762408958748,0.02728363312780857,0.007163588423281908,0.06124122440814972,0.0001373458729325705,0.0014713541019849192,1.0,0.4485677083333333,0.00013734563496351862,0.0014713528677627135
4,50,corrected,4612,1.0,1199,2.1342341227637007e-08,2.007712055274169e-06,0.00024477276019752026,0.00011012925824616104,0.0011713140411302447,0.00010522087407120277,0.0009221289508545283,1.0,0.6477864583333334,0.00010522034426685423,0.0009221338332281448
4,100,free,4546,1.0,1025,2.2457488739746623e-06,0.0002165916666854173,0.025877662003040314,0.007303266320377588,0.05851654335856438,0.0001787057307550318,0.0016006143619975433,1.0,0.435546875,0.00017871708405436948,0.0016006152412349668
4,100,first_order,4482,1.0,1199,2.307868271600455e-06,0.00022199269733391702,0.02658960223197937,0.007497557904571295,0.06021106615662575,7.240821816978382e-05,0.0014378865592353425,1.0,0.4563802083333333,7.240733248181641e-05,0.0014378888978778075
4,100,corrected,4612,1.0,1199,3.043735574692619e-08,2.7833591502712807e-06,0.00021747496793977916,0.00011438569345045835,0.0010939884232357144,0.00012073369049877176,0.0008781935251439185,1.0,0.6510416666666666,0.00012072685543292512,0.0008781945822799268
4,200,free,4546,1.0,925,2.228294306405587e-06,0.00021175316942390054,0.025866780430078506,0.007099503185600042,0.05845516920089722,0.00020058970363242187,0.0016111005992982541,1.0,0.556640625,0.00020059193775523454,0.001611114644523089
4,200,first_order,4482,1.0,1199,2.3465017875423655e-06,0.00022375636035576463,0.026835843920707703,0.007375587709248066,0.06057784706354141,0.0001478602865105927,0.0014540328385142705,1.0,0.4453125,0.0001478568350042527,0.0014540353998503026
